image_path,palette_path
data-raw/0.jpg,data-raw/0.npy
data-raw/1.jpg,data-raw/1.npy
data-raw/2.jpg,data-raw/2.npy
data-raw/3.jpg,data-raw/3.npy
data-raw/4.jpg,data-raw/4.npy
data-raw/5.jpg,data-raw/5.npy
data-raw/6.jpg,data-raw/6.npy
data-raw/7.jpg,data-raw/7.npy
data-raw/8.jpg,data-raw/8.npy
data-raw/9.jpg,data-raw/9.npy
data-raw/10.jpg,data-raw/10.npy
data-raw/11.jpg,data-raw/11.npy
data-raw/12.jpg,data-raw/12.npy
data-raw/13.jpg,data-raw/13.npy
data-raw/14.jpg,data-raw/14.npy
data-raw/15.jpg,data-raw/15.npy
data-raw/16.jpg,data-raw/16.npy
data-raw/17.jpg,data-raw/17.npy
data-raw/18.jpg,data-raw/18.npy
data-raw/19.jpg,data-raw/19.npy
data-raw/20.jpg,data-raw/20.npy
data-raw/21.jpg,data-raw/21.npy
data-raw/22.jpg,data-raw/22.npy
data-raw/23.jpg,data-raw/23.npy
data-raw/24.jpg,data-raw/24.npy
data-raw/25.jpg,data-raw/25.npy
data-raw/26.jpg,data-raw/26.npy
data-raw/27.jpg,data-raw/27.npy
data-raw/28.jpg,data-raw/28.npy
data-raw/29.jpg,data-raw/29.npy
data-raw/30.jpg,data-raw/30.npy
data-raw/31.jpg,data-raw/31.npy
data-raw/32.jpg,data-raw/32.npy
data-raw/33.jpg,data-raw/33.npy
data-raw/34.jpg,data-raw/34.npy
data-raw/35.jpg,data-raw/35.npy
data-raw/36.jpg,data-raw/36.npy
data-raw/37.jpg,data-raw/37.npy
data-raw/38.jpg,data-raw/38.npy
data-raw/39.jpg,data-raw/39.npy
data-raw/40.jpg,data-raw/40.npy
data-raw/41.jpg,data-raw/41.npy
data-raw/42.jpg,data-raw/42.npy
data-raw/43.jpg,data-raw/43.npy
data-raw/44.jpg,data-raw/44.npy
data-raw/45.jpg,data-raw/45.npy
data-raw/46.jpg,data-raw/46.npy
data-raw/47.jpg,data-raw/47.npy
data-raw/48.jpg,data-raw/48.npy
data-raw/49.jpg,data-raw/49.npy
data-raw/50.jpg,data-raw/50.npy
data-raw/51.jpg,data-raw/51.npy
data-raw/52.jpg,data-raw/52.npy
data-raw/53.jpg,data-raw/53.npy
data-raw/54.jpg,data-raw/54.npy
data-raw/55.jpg,data-raw/55.npy
data-raw/56.jpg,data-raw/56.npy
data-raw/57.jpg,data-raw/57.npy
data-raw/58.jpg,data-raw/58.npy
data-raw/59.jpg,data-raw/59.npy
data-raw/60.jpg,data-raw/60.npy
data-raw/61.jpg,data-raw/61.npy
data-raw/62.jpg,data-raw/62.npy
data-raw/63.jpg,data-raw/63.npy
data-raw/64.jpg,data-raw/64.npy
data-raw/65.jpg,data-raw/65.npy
data-raw/66.jpg,data-raw/66.npy
data-raw/67.jpg,data-raw/67.npy
data-raw/68.jpg,data-raw/68.npy
data-raw/69.jpg,data-raw/69.npy
data-raw/70.jpg,data-raw/70.npy
data-raw/71.jpg,data-raw/71.npy
data-raw/72.jpg,data-raw/72.npy
data-raw/73.jpg,data-raw/73.npy
data-raw/74.jpg,data-raw/74.npy
data-raw/75.jpg,data-raw/75.npy
data-raw/76.jpg,data-raw/76.npy
data-raw/77.jpg,data-raw/77.npy
data-raw/78.jpg,data-raw/78.npy
data-raw/79.jpg,data-raw/79.npy
data-raw/80.jpg,data-raw/80.npy
data-raw/81.jpg,data-raw/81.npy
data-raw/82.jpg,data-raw/82.npy
data-raw/83.jpg,data-raw/83.npy
data-raw/84.jpg,data-raw/84.npy
data-raw/85.jpg,data-raw/85.npy
data-raw/86.jpg,data-raw/86.npy
data-raw/87.jpg,data-raw/87.npy
data-raw/88.jpg,data-raw/88.npy
data-raw/89.jpg,data-raw/89.npy
data-raw/90.jpg,data-raw/90.npy
data-raw/91.jpg,data-raw/91.npy
data-raw/92.jpg,data-raw/92.npy
data-raw/93.jpg,data-raw/93.npy
data-raw/94.jpg,data-raw/94.npy
data-raw/95.jpg,data-raw/95.npy
data-raw/96.jpg,data-raw/96.npy
data-raw/97.jpg,data-raw/97.npy
data-raw/98.jpg,data-raw/98.npy
data-raw/99.jpg,data-raw/99.npy
data-raw/100.jpg,data-raw/100.npy
data-raw/101.jpg,data-raw/101.npy
data-raw/102.jpg,data-raw/102.npy
data-raw/103.jpg,data-raw/103.npy
data-raw/104.jpg,data-raw/104.npy
data-raw/105.jpg,data-raw/105.npy
data-raw/106.jpg,data-raw/106.npy
data-raw/107.jpg,data-raw/107.npy
data-raw/108.jpg,data-raw/108.npy
data-raw/109.jpg,data-raw/109.npy
data-raw/110.jpg,data-raw/110.npy
data-raw/111.jpg,data-raw/111.npy
data-raw/112.jpg,data-raw/112.npy
data-raw/113.jpg,data-raw/113.npy
data-raw/114.jpg,data-raw/114.npy
data-raw/115.jpg,data-raw/115.npy
data-raw/116.jpg,data-raw/116.npy
data-raw/117.jpg,data-raw/117.npy
data-raw/118.jpg,data-raw/118.npy
data-raw/119.jpg,data-raw/119.npy
